Intervention name,Year of original assessment,Original CE estimate (x cash),Original reason deprioritized,Likelihood worth revisiting (H/M/L),Updated rough CE estimate (x cash),Confidence in updated estimate (H/M/L),Reason
Digital tools to enhance take-up of welfare programs,2022,~3x (range 2-12x),One flawed RCT (Blanco & Vargas 2014 85% attrition self-reported outcomes); 60% IV discount; speculative cost assumptions,L,~1-3x (evidence weakened since original),M,"DellaVigna & Linos (2022 Econometrica) found academic nudge effects are 6x larger than at-scale effects (8.7pp vs 1.4pp across 126 RCTs and 23M individuals) — strongly suggesting the original 12pp effect from Blanco & Vargas would not replicate. Hanna et al. (2024 REStat Thailand) found low enrollment may be due to low valuation rather than information barriers — a fundamental challenge for SMS-based approaches. Page et al. (2023) found zero impact from national-scale FAFSA SMS nudges (800k students). J-PAL/CID 2024 evidence review: information alone insufficient; enrollment assistance needed. No new direct RCT on SMS for welfare enrollment in LMICs since Blanco & Vargas 2014. SMS costs very low (<$0.01/message in most LMICs) but effect size deflation more than offsets cost savings. G2P digital infrastructure expanded massively (865M new accounts during COVID) but this benefits direct digital delivery not SMS nudges. CE likely lower than original 3x given scale-up discount on effect size."
Safe birth kits,2022,~2.4x (max 4.4x in Somalia),Very limited experimental evidence; Björkman Nyqvist 2022 RCT null (only 10% received kits); cost ~$10/kit; targets only ~11% of neonatal deaths,L,~2-4x (no material change),L,"Still no well-powered RCT showing mortality reduction from birth kits alone. Arowosegbe et al. 2023 (Nigeria cluster RCT n=453): neonatal infection RR 0.64 (p=0.10) — promising direction but underpowered. iNCK trial in Pakistan (~27000 women) could be pivotal but results pending and tests bundled intervention (kit + CHX + emollient + thermal care). Gebeyehu et al. 2024 meta-analysis of 12 observational studies: CDK use associated with reduced mortality/sepsis but all observational evidence. Lee Him et al. 2024 descriptive review: ~27% mortality reduction from clean birth kits across heterogeneous designs. Cost slightly favorable: JANMA kit ~$2.20 locally assembled (vs ~$10 original); iNCK CEA found $74/DALY averted. No new Cochrane review on birth kits. WHO position unchanged. Global trend toward facility-based care may shrink target population. Even at lower cost ($2.20/kit) CE arithmetic doesn't clear 8x given the small share of neonatal deaths targetable (~11% infection/sepsis-related) and uncertain effectiveness."
Midwifery school support,2022,~5.3x (3.9x before leverage/funging),Weak evidence (no direct midwife RCT; used physician proxy from Okeke & Abubakar 2021); no clear funding opportunity; preferred HDLF training instead,L,~4-5x (no material change),L,"No new direct RCTs linking midwife training to neonatal or maternal mortality. The evidence gap from the 2022 QEA persists. WHO released a midwifery models of care position paper (2024) and implementation guidance (2025) calling for global expansion but these are policy signals not clinical evidence. A 2023 Morocco cost-benefit analysis found 16:1 BCR but this is LiST modeling and implied ~$5290/life saved — above GW's bar. Africa's midwife workforce nearly doubled 2013-2022 (173k to 334k) but shortage remains massive (~750k by 2030). Amref continues small-scale e-learning midwife upgrading programs in Uganda/Malawi/Zambia but no at-scale training program identified. 2025 UN reports flag funding cuts to midwifery support. Original CE of 3.9x (5.3x with leverage/funging) was already well below the 8x bar. Breakeven required 2.56% NMR reduction — plausible but unsupported by evidence. No material change to CE arithmetic."
Manual water pumps for farming households,2022,-4.9x (best guess) / 3.3x (optimistic no offset) / 5.6x (optimistic 12yr lifespan),Not cost-effective — farm revenue gains offset by non-farm income losses; even optimistic scenario (3.3x) well below bar,L,~2-4x (no material change),L,"Dyer & Shapiro study now published in Journal of Development Economics (2023) — same results as working paper. Farm revenue +13% but offset by reduced non-farm income producing net negative annual income effect. BOTEC shows 1.7x (base) and 4.2x (optimistic). No new RCTs on manual irrigation pumps for smallholder farmers. Solar-powered irrigation gaining more attention (SunCulture CGIAR IIASA) but is a different technology at much higher price points. One Acre Fund (potential implementer) offers bundled agricultural programs at lower cost with similar income gains. Even under optimistic assumptions (no offsetting + 12yr lifespan) CE reaches only 5.6x — still well below 8x bar. Not worth revisiting."
Genetically modified eggplants (Bt brinjal),2022,~3.1x (best guess; range 0.3-14x),Low CE; unclear funding opportunity beyond USAID; key parameters uncertain (profit vs revenue; % income from eggplant; seed reuse),L,~3x (no material change),L,"No new experimental evidence on income/consumption effects since Ahmed et al 2020 RCT. Bangladesh adoption has actually declined from peak of 11.9% of brinjal cultivation land (2021) to 5.3% (2023) despite ~65k farmers growing it. Philippines approved Bt eggplant in Oct 2022 but Court of Appeals issued cease-and-desist in April 2024 citing insufficient scientific certainty; Supreme Court petition pending. India moratorium on Bt brinjal remains in place. USAID continues as primary funder ($10M to Cornell/IREP for commercialization). A 2025 Pabna district study confirms income benefits but is observational. Key uncertainties from original QEA persist: profit vs revenue gap unclear what share of HH income comes from eggplant and seed reuse rates uncertain. CE at 3.1x well below 8x bar. No clear philanthropic funding gap — USAID dominates the space. Not worth revisiting."
Commodity acquisition for iCCM (ORS/zinc + amoxicillin),2022,~14x in Zamfara Nigeria (2.5x in DRC),Flagged for further investigation — CE appeared high but key effect sizes uncertain and not fully vetted; MSH commodity gap claim unverified,L,~17x (GiveWell's own estimate for CHAI program),M,"GiveWell has already validated and is actively funding this opportunity. CHAI received $8.07M (Sep 2023 grant later increased) for ORS/zinc distribution in Bauchi Nigeria reaching ~1.5M children; GW estimates 17x cash (24x including RCT learning value). New Incentives received $4.8M (Oct 2024) for ORS/zinc alongside immunization. Clear Solutions ran a pilot in Kano (Dec 2023). An active RCT is measuring ORS usage impact with results expected mid-to-late 2025. The original QEA correctly identified this opportunity at 14x — close to GW's current 17x estimate. The amoxicillin component (29% of original benefits) is not being pursued separately. Not rated Medium/High because the opportunity is already being pursued by GiveWell — there is nothing additional to recommend."
Deworming pregnant people,2022,2-7x standalone / 28x add-on,Low CE as standalone (2-7x); add-on CE (28x) depends on $0.10 cost assumption; limited RFMF; proposed checking with Evidence Action,L,~2-7x standalone / ~28x add-on (no material change),L,"No new major RCTs since the 2021 Cochrane review and 2019 IPD meta-analysis. Evidence still limited (<4000 pregnancies across trials). Maternal anemia reduction ~20% and suggestive LBW reduction ~11% remain the best estimates. Evidence Action pursued maternal syphilis in Liberia (exit grant April 2024) and expanded to Zambia/Cameroon ($15M grant July 2022) but did not add deworming as an intervention. The add-on scenario (28x) remains theoretically attractive but depends on the $0.10 marginal cost assumption and requires a delivery platform — no implementer has picked this up. Standalone CE (2-7x) remains well below 8x bar. Safety data unchanged (no first-trimester concerns confirmed). A 2021 retrospective cohort (PLOS NTDs) found deworming during ANC associated with 14% neonatal mortality reduction but observational only. Not worth revisiting unless an implementer identifies a low-cost add-on opportunity."
Unconditional cash transfers for pregnant people,2022,~1.7x cash,Below bar — high cost per person (~$1061); modest incremental health benefits over untargeted UCTs; $26k cost per life saved,L,~1.5-2x (no material change relative to cash),M,"Major new evidence from GiveDirectly Kenya study (2025 107000+ births): $1000 UCT reduced infant mortality by 48% and neonatal mortality by 63% when cash arrived around time of birth. However this finding primarily affects GiveDirectly's baseline CEA — the comparison denominator — rather than the targeted pregnancy UCT's numerator. The original QEA explicitly predicted this: 'to the extent that some of these effects should be seen in a blanket UCT program the cost-effectiveness of this program relative to cash should decline.' The targeted program's advantage over untargeted cash remains modest (~1.7x) because (1) the cash transfer itself is the primary value and is already captured in GiveDirectly's model and (2) the incremental health benefits of targeting are small relative to the higher administrative costs of identification. The Muralidharan India RCT (J-PAL South Asia) on UCTs for pregnant/lactating mothers in Jharkhand has not published results yet. Cost per life saved (~$26k) still well above GW's other programs. Not worth revisiting."
Generic hepatitis C medication,2021,0.3x (low SDI) / 1.1x (high-burden LMICs) / 0.4x (CHAI Myanmar),Low CE due to high per-person cost ($112-169) and low baseline mortality; primarily averts deaths of older adults (MW=54); would need to cost ~$15/person for 8x,L,~0.5-2x (slightly improved by lower drug prices but still far below bar),L,"Generic DAA prices have continued to fall: $39 in India $60 in Rwanda $84 in Egypt (vs $87-112 in original). The VIETNARMS trial (2024 624 patients) directly compared SOF/DCV and SOF/VEL and supports SOF/DCV — the cheapest option globally. WHO 2030 elimination targets are off track (only 24% of high-income countries on target; LMICs further behind). CHAI has an HCV elimination strategy targeting 16M people across 34 countries. But fundamental CE arithmetic is unchanged: even at $60/person CE roughly doubles to ~2x in high-burden countries — still far below 8x bar. The constraint is structural: (1) hepatitis C deaths concentrated in 60-69 age group (low moral weight 54); (2) low baseline annual mortality rate per infected person (~1%); (3) per-person treatment costs cannot plausibly reach $15. GW has not publicly investigated hepatitis C. Not worth revisiting."
Antiviral procurement for COVID-19,2022,15-27x (molnupiravir) / 22-42x (Paxlovid) including leverage adjustments,No writeup — BOTEC only; pandemic-era opportunity assessment,L,Not applicable (intervention obsolete),M,"COVID-19 is no longer a public health emergency (WHO declared end of emergency May 2023). Populations have substantial natural and vaccine immunity. COVID mortality has plummeted globally. The original BOTEC was based on pandemic-era assumptions: 4x location-specific death risk multiplier high CFRs (1.3-1.8% among high-risk) and no prior immunity. These assumptions no longer hold. A 2023 cost-effectiveness analysis in Ghana/Rwanda/Zambia found neither molnupiravir nor Paxlovid cost-effective in the all-adult population; only Paxlovid showed value for very specific high-risk elderly subgroups. The UK PANORAMIC trial (2023) found molnupiravir did not significantly reduce hospitalizations or deaths in vaccinated populations. African governments largely decided not to procure substantial quantities based on these analyses. Generic Paxlovid is available under $25/course via CHAI agreements but demand is minimal. This intervention is essentially obsolete in its original pandemic framing. Not worth revisiting."
Community-based antibiotic delivery for PSBI management,2020,No CE estimate (brief note only),No evidence on standalone antibiotic effect — 4/5 Cochrane studies bundled antibiotics with other interventions; one standalone trial found no effect on mortality,L,~2-4x (based on Ethiopia model $223/DALY averted),L,"Evidence has improved substantially since the brief 2020 note. WHO published comprehensive new SBI guidelines (Dec 2024) with 11 recommendations (4 new 7 updated) including strong recommendations for non-hospital settings. Lancet Global Health 2025 RCT (n=7001 across 6 LMICs) demonstrated outpatient treatment non-inferior to inpatient for low-risk PSBI (7.7% vs 7.8% poor clinical outcomes) with significantly lower mortality in outpatient arm (0.3% vs 0.7%). Treatment costs $20-43/infant in outpatient settings; Ethiopia cluster-RCT found adding PSBI management at health posts reduced post-day-1 NMR by 17% at $223/DALY averted. However CE by GW standards is only ~2-4x ($223/DALY vs ~$100-150 at 8x bar). Original concern about standalone vs bundled effect partially but not fully resolved — new trials compare treatment settings not treatment vs no treatment. Program requires daily IM injections for 7 days making delivery complex. Space well-funded by WHO/UNICEF under ENAP framework. AMR is growing concern for simplified regimens. No clear GW-type philanthropic entry point."
Lymphoedema management to prevent ADLA in podoconiosis,2021,1.7x (consumption-based model),Not cost-effective — morbidity/income pathway only with no mortality channel; 1.7x far below 8x bar,L,~1.7x (no material change),L,"Original BOTEC modeled consumption gains from the GoLBeT RCT (Negussie et al 2018 Lancet Global Health): simple lymphoedema management (foot hygiene compression shoes) reduced ALA incidence by 19% (IRR 0.81 p<0.0001). At $50/person/year (Mossy Foot Project estimate) the income-based CE is 1.7x GD. No mortality channel — podoconiosis causes morbidity and income loss but does not kill. ~4M people affected globally (1.5M in Ethiopia). Updates since 2021: EnDPoINT study (BMC Medicine 2025) demonstrated effectiveness and cost-effectiveness of integrated NTD care package (podoconiosis + LF + leprosy) in Ethiopia. WHO NTD Roadmap 2021-2030 includes podoconiosis with MMDP targets. Ethiopian government mainstreaming podoconiosis into health facilities with NGO support. But no new evidence changes the fundamental CE arithmetic — the income-to-UoV conversion without mortality inherently limits CE. Even dramatic cost reductions could not bridge the gap from 1.7x to 8x."
Cryptococcal antigen testing for people living with HIV,2020,27x (REMSTAT-based; range 5-41x),BOTEC only — no writeup or further investigation notes; likely deprioritized due to PEPFAR/Global Fund dominance in HIV space,L,~8-10x with corrected moral weights (range 2-14x),L,"Original BOTEC used 100 UoV per death averted — likely too high for adult HIV patients dying of cryptococcal meningitis (GW standard for adults ~30-50 UoV). With corrected moral weights (~35 UoV) CE drops from 27x to ~8-10x at central estimate and ~2x at pessimistic end. Screen-and-treat model (CrAg LFA at $2.50 → preemptive fluconazole for CrAg+ patients → hospitalization for confirmed CM) has strong evidence base: cost per death averted $1243 (range $803-6562). Key developments since 2020: AMBITION trial (NEJM 2022) showed single-dose liposomal amphotericin B non-inferior to 7-day course for CM treatment — now WHO first-line — dramatically simplifying treatment. CrAg screening uptake only 57% in Africa (2025 systematic review) indicating large implementation gap. But space dominated by PEPFAR ($6.7B+/year) and Global Fund. PEPFAR funding freeze/cuts (2025) create uncertainty but GW would be marginal funder. Target population (CD4<100) shrinking as ART access improves. Implementation barriers are health-system level (lab capacity lumbar puncture follow-up) not funding-gap level. Not GW's domain."
Oxygen therapy for children,2021,~7x non-COVID / ~14x COVID (BOTEC with $45/patient and CHAI cost structure; 100k patients/year),Uncertain RFMF given CHAI $100M 100&Change grant and large COVID oxygen spending; costs and benefits highly uncertain; evidence limited to pre/post studies and one RCT where oxygen supply added no benefit beyond pulse oximetry,M,~15x at $45/patient (range ~7x at $100 to ~25x at $26; using corrected GW moral weights),M,See writeup
Statins and/or polypill for CVD,2021,0.7-1.9x (PolyIran trial-based; all-cause mortality method 0.7x to fatal IHD method 1.9x),Below 8x bar; no implementing organizations; CVD deaths mainly in elderly (low moral weight by GW standards); required chronic daily medication with adherence challenges,L,~1-3x (modestly improved by stronger evidence and WHO EML inclusion),M,"Evidence has strengthened modestly. SECURE trial (NEJM 2022 n=2499 post-MI patients in Europe) found 24% MACE reduction and 33% CV mortality reduction — but secondary prevention only. WHO added polypills to Essential Medicines List (July 2023) for the first time — a landmark policy milestone. 2025 meta-analysis (Yazgi et al. 30 studies 35833 participants): pooled MACE RR 0.78 CV death RR 0.75 and all-cause mortality RR 0.88. Primary prevention MACE RR 0.75 (95% CI 0.55-1.02 non-significant). However CE is still structurally limited: (1) daily chronic medication at $0.35/day ($128/year) in LMICs — ICER $5767/QALY — an order of magnitude too expensive vs GW bar; (2) no large-scale primary prevention polypill program has ever been implemented despite WHO EML inclusion; (3) zero public pharmacies stock polypills even in countries with market authorization; (4) CVD deaths concentrated in elderly (moral weight 30-50 UoV); (5) manufacturing concentrated in 4 countries. NCD funding declining (34.4% drop 2020-2023). HEARTS program treats 12.2M hypertensive patients but focuses on BP-lowering not polypill. No clear philanthropic entry point."
Arsenic in wells (Bangladesh),2021,~18x (BOTEC only; 100k wells at $2/test with 35% switching rate 5-year benefits and HR 1.68 for high exposure),No writeup produced — BOTEC only; no identified implementer; evidence from observational cohort (HEALS); moral weights labeled as guesses (106 for adult 100 for infant),M,~10-20x (key parameters need scrutiny but 2025 JAMA evidence strengthens mortality case substantially),L,See writeup
Aspirin for acute myocardial infarction,2021,3.8x ($4.77/person/year; 10% mortality reduction from 2002 ATT meta-analysis; MW 30.7; 75% compliance; 70% early-stage and 75% durability adjustments),Low CE (3.8x well below 8x bar); early-stage investigation with key unknowns about LMIC implementation costs and counterfactual treatments,L,~3-4x (no material change),M,"No new placebo-controlled RCTs or meta-analyses materially change the ~10% mortality reduction estimate (ATT 2009 remains best evidence). 2023 JAMA study documents massive aspirin underuse in LMICs: only 16.6% of eligible patients in LICs and 24.5% in LMICs take aspirin for secondary prevention — none of 30 LICs/LMICs meet the WHO 50% target. WHO added polypill (containing aspirin) to Essential Medicines List (2023). HEARTS initiative expanding but focused on hypertension not aspirin. ADAPTABLE trial (2021) confirmed low-dose aspirin equivalent to high-dose (no CE impact). P2Y12 inhibitors emerging as potentially superior but more expensive. No LMIC-specific cost-effectiveness analyses published since original. No large-scale dedicated aspirin secondary prevention program identified in LMICs. MIMIC trial in Tanzania improved aspirin use from 34% to 72% at a single hospital but no cost data. Drug cost is trivial (~$0.08/day) but identifying and retaining post-MI patients requires health system infrastructure. CE at 3.8x — driven by adult CVD deaths with low moral weight (~30 UoV) — remains far below 8x bar."
Prophylactic antibiotics to reduce infections from caesarian sections,2020,10.6x ($5/patient guess; 68% maternal mortality reduction derived from Smaill & Grivell 2014 Cochrane RR 0.31 for serious infections × 9.62% CFR; MW 113 per maternal death),BOTEC only — no writeup; cost is a guess; mortality reduction derived indirectly; high MW not validated,L,~3-5x (original CE overstated due to high counterfactual coverage),M,"Original CE of 10.6x is substantially overstated because the BOTEC assumes zero counterfactual prophylaxis coverage. WHO Multicountry Survey finds ~87% of C-sections globally already receive prophylactic antibiotics (though with large facility-level variation and lower rates in SSA). The marginal addressable population is the ~13-40% not receiving prophylaxis — primarily in lower-quality SSA facilities. Adjusting for ~60% counterfactual coverage in target areas reduces deaths averted by ~60% and CE to ~3-5x. Additional concerns: (1) MW of 113 per maternal death is at the upper end (plausible for women aged 25-30 based on GW age-weight curve but should be explicitly grounded); (2) $5/patient is an unsourced guess (drug cost alone is <$1-2 for a single dose of cefazolin); (3) the intervention is really about health system quality improvement and protocol adherence not drug distribution — costs per marginal patient may be much higher; (4) growing AMR concerns with routine prophylaxis (WHO 2025 declined to recommend routine prophylaxis for vaginal births partly due to AMR). Cochrane review not updated since 2014 but evidence base is strong (95 studies). C-section rates rising in LMICs (projected 33.5M/year by 2030). WHO 2021 guideline confirms single-dose cephalosporin or penicillin. No clear philanthropic entry point — this is a health system strengthening challenge not a drug access problem."
Eggs for early complementary feeding,2020,1.63x ($77/recipient for 6-month egg intervention; HAZ effect 0.35 SD avg of Ecuador 0.63 and Malawi 0.07; 87% of value from HAZ-to-adult-earnings pathway),Not cost-effective (1.63x far below 8x bar); HAZ effect highly variable across settings; dependent on speculative earnings conversion,L,~0.5-1x (evidence weakened since original),M,"Evidence has weakened since the original assessment. Most critically: the Ecuador Lulun follow-up (Iannotti 2020) found the original 0.63 SD HAZ effect completely disappeared within 2 years — both groups had identical HAZ of -2.07 at follow-up with 50% stunting prevalence. The egg group actually experienced significantly greater HAZ decline from endline (beta -0.497 p=0.001). This undermines the entire 40-year adult earnings pathway which requires persistent height gains. WHO's own systematic review for its 2023 complementary feeding guidelines pooled two RCTs and found no significant HAZ effect (MD 0.06 95% CI -0.10 to 0.22) — dramatically lower than the 0.35 SD assumed in the original BOTEC. Burkina Faso Un Oeuf trial found no significant effect on stunting. Malawi Mazira result (0.07 SD) confirmed as closer to the true effect than Ecuador (0.63 SD). Using updated WHO pooled estimate (0.06 SD) instead of 0.35 SD would reduce CE by ~83%. No organization implements egg supplementation at scale as a standalone health intervention. SQ-LNS offers a much stronger evidence base (12-14% stunting reduction in IPD meta-analysis) at comparable costs (~$52/child). WHO 2023 recommends daily animal source foods (meat fish OR eggs) as part of dietary diversity but this is a general nutrition recommendation not support for targeted egg supplementation. Not worth revisiting."
MDR-TB treatment (multi-drug resistant tuberculosis),2017,No BOTEC produced (evidence too thin — only observational studies; treatment success ~60-78% with 18-24 month injectable regimens; cost $1000-5000/patient),Weak evidence base — WHO recommendation based on very low quality observational evidence; only meta-analyses of treatment success rate available; no RCTs; RCTs flagged for 2018-2019,M,~3x at $1500/patient (range ~2x at $2500 to ~15x at $310 drug-only),L,See writeup
Conditional incentives to avert child marriage,2017,~3.2x (counting consumption benefits + child marriages averted with subjective values + severe pregnancy complications averted),CE not high enough to prioritize (~3.2x); skeptical of generalizability outside rural Bangladesh; uncertain moral weight for averting child marriage,L,~3x (no material change),M,"Study published as Buchmann et al. 2023 in American Economic Review (vol. 113(10) pp. 2645-88) — 'A Signal to End Child Marriage.' Published results consistent with 2017 working paper: financial incentive reduced child marriage by 19% (previously reported as 21%). Program cost $21/girl/year ($16 cooking oil + $5 admin) for ~3 years. CE at 3.2x driven primarily by consumption benefits of cash transfer and subjective valuation of child marriages averted — pregnancy complications averted contribute relatively little. No new Bangladesh RCTs. UNICEF 2024: child marriage rates declining globally (1 in 5 vs 1 in 4 a decade ago) but 12M girls still married/year. UNFPA-UNICEF Global Programme Phase III (2024-2030) active across 12 high-burden countries. Key structural constraints unchanged: (1) 3.2x is far below 8x bar; (2) most CE comes from subjective valuation of averting child marriage — GW has no standard moral weight for this; (3) program specific to rural Bangladesh with uncertain generalizability; (4) no mortality channel; (5) Save the Children is the only identified implementer. Even doubling the value of averting child marriage or adding education-to-income benefits would not plausibly reach 8x. Not worth revisiting."
Schizophrenia antipsychotics or community-based care,2019,~1.2x (based on BasicNeeds model: $721/DALY 1.48 DALYs averted per patient at $1067 cost),Not cost-effective (1.2x far below bar); morbidity-only intervention with no mortality channel; uncertain conversion from GHQ-12 scores to DALYs,L,~1-2x (no material change),L,"GBD 2021 reports ~14.8M schizophrenia DALYs globally (up from ~8.8M in 1990) but GBD does not attribute any deaths directly to schizophrenia — burden is entirely YLDs. No large-scale LMIC RCTs with cost data published since the original assessment. COPSI trial (India) tested collaborative community-based care but is older. SAMARTH project (2025-2030 NIMH-funded Sangath/Harvard) will test digital psychosocial rehabilitation in Indian primary care — results years away. WHO mhGAP guidelines updated but no fundamental change in treatment recommendations. Community-based care models remain evidence-based but expensive relative to effect size. Key structural constraints unchanged: (1) 1.2x is an order of magnitude below 8x bar; (2) no mortality channel — schizophrenia is a chronic morbidity condition; (3) GW has no standard moral weight for mental health improvements vs. death prevention; (4) treatment costs ($1000+/patient for 2-year program) are high relative to DALY gains; (5) antipsychotic medication requires ongoing supply chains and monitoring. Even dramatic cost reductions (5x) would only reach ~6x and would require lower-quality care models not yet validated. Not worth revisiting."
CBT and interpersonal therapy (StrongMinds),2017,~0.5x (StrongMinds BOTEC using $200/patient and 2-year half-life; no IV adjustment),Low CE (0.5x); uncertain moral weights for depression relief vs death prevention; uncertain evidence base (self-reported outcomes possible demand effects); unknown income/consumption effects,L,~2-3x (dramatically lower costs but GW assessment caps CE),M,"StrongMinds has scaled dramatically since 2017: 426642 clients treated in 2024 (vs ~5000 in 2015) at $23/person (vs ~$200-375 in 2015-2017) — a ~10x cost reduction. Happier Lives Institute (HLI) estimates 40 WELLBYs per $1000 donated (5.3x GiveDirectly). However GiveWell conducted an explicit assessment in 2023 concluding StrongMinds is ~25% as cost-effective as GW's marginal funding opportunities — roughly ~2-2.5x cash transfers. GW identified a wide plausible range (5-80% of marginal) but their best guess is far below the 8x bar. Key differences between HLI and GW estimates: GW applies larger discounts for social desirability bias in self-reported depression scores publication bias lower effects at scale and lower spillover assumptions. The fundamental constraint is the moral weight debate: how to value depression relief relative to averting child deaths. GW's framework heavily weights mortality prevention. Even at $23/person with HLI's more generous 5.3x estimate this does not clear the 8x bar. StrongMinds now operates in Uganda and Zambia with plans to expand. WHO recommends IPT-G as first-line depression treatment in resource-poor settings. No new large RCTs resolve the effect-size-at-scale question. Rethink Priorities also analyzed the uncertainty and found wide confidence intervals. Not worth revisiting under GW's current moral weight framework."
Synbiotics to prevent neonatal sepsis,2018,~14x at 5% CFR ($1106/infant life saved; RR 0.6 for death/sepsis at $2/course based on Panigrahi et al. 2017),BOTEC only — no writeup produced; single trial (Panigrahi 2017 Nature n=4556 rural India); 5% neonatal sepsis CFR is uncertain; no replication,L,~5-14x (unchanged; single unreplicated trial with uncertain CFR),L,"The Panigrahi et al. 2017 Nature trial (n=4556 rural Odisha India) remains the sole evidence: oral synbiotic (L. plantarum + FOS) given for 7 days reduced death/sepsis by 40% (RR 0.60 95% CI 0.48-0.74). Despite being published in Nature and the authors calling for replication no replication trial has been published in 8 years. A corrigendum was published (Nature Nov 2017). The 2023 Frontiers Bayesian network meta-analysis (29 RCTs 4906 neonates in LMICs) focused on preterm/VLBW infants — a different population from Panigrahi's full-term cohort. CE is extremely sensitive to the neonatal sepsis CFR: at 5% (BOTEC guess) ~14x; at 10% ~28x; at 2% ~5.5x. No WHO recommendation for this specific synbiotic formulation. Safety concerns: systematic review identified 32 cases of probiotic-related sepsis in preterm infants across 16 studies. No identified implementer at scale. The lack of replication after 8 years despite a striking Nature result is a strong negative signal — suggests either the result is fragile or no funder/implementer was willing to invest in scale-up. Not worth revisiting unless a replication trial is published."
Adolescent pregnancy prevention interventions,2017,~$2000-3000 per pregnancy averted (CCTs ~$2941/pregnancy averted from Baird 2010; community programs ~$2143 from Ross 2007; best case ~$693 from Ross projected costs),Mixed evidence — most interventions show marginal or no effect (McQueston 2013 SR); cost per pregnancy averted higher than direct contraceptive provision; no clear mortality channel modeled,L,~$700-3000 per pregnancy averted (no material change; direct contraception via Sayana Press is more cost-effective),L,"No new large LMIC RCTs fundamentally change the picture. A 2023 overview of systematic reviews found school-based skill-building and peer-led programs 'generally effective' but without LMIC-specific cost data. Structural interventions (CCTs education subsidies) remain the strongest evidence per McQueston 2013. However the key development since 2017 is GiveWell's 2025 contraception valuation framework (0.7 UoV per woman-year of modern contraception) and Sayana Press at ~$12/woman-year (~13x cash). This makes indirect pregnancy prevention via CCTs or community programs look even worse by comparison: at $2941/pregnancy averted (Baird CCT) vs ~$17/pregnancy averted via Sayana Press self-injection the indirect approach is ~170x more expensive per pregnancy averted. Even at the most optimistic $693/pregnancy averted (Ross projected) the indirect approach is ~40x more expensive. The QEA correctly identified this: the program was rated 2.5x less cost-effective than Sayana Press for preventing pregnancies. UNFPA-UNICEF Global Programme Phase III (2024-2030) continues multi-component approaches but GW's comparative advantage is in direct contraceptive provision not community-based adolescent programs. Not worth revisiting."
Rural electrification,2017,No CE estimate (no BOTEC produced; cost data unavailable),Exploratory QEA only — no cost data found; mixed quasi-experimental evidence; cost-effectiveness assessment deemed to require significant time investment,L,~1-2x (infrastructure intervention with no mortality channel),L,"The minigrid sector has scaled substantially since 2017: 11M connections operational in SSA rural electrification rate up from 17% to 28%. Evidence has improved: quasi-experimental studies document 50%+ household income increases from electrification. Costs remain high: typical minigrid LCOE >$0.60/kWh connection costs $300-1000+ per household. But CE by GW standards remains very low because: (1) no mortality channel — benefits are income/productivity/education; (2) per-beneficiary costs are very high ($300-1000+); (3) income-to-UoV conversion without mortality inherently limits CE; (4) massive existing funding from governments World Bank AfDB and MDBs ($84B committed for SDG7). Rwanda has attracted private minigrid investment; solar costs have fallen. But even optimistic scenarios (50% income gain $500 investment $657 baseline consumption 10-year horizon) yield ~1-2x cash by standard GW methodology. This is a development infrastructure intervention fundamentally different from GW's health-focused portfolio. Not worth revisiting."
Broad behavior change program for adolescent girls in India (Saloni),2017,No CE estimate (no cost data available),Single flawed RCT (Kapadia-Kundu 2014) with self-reported outcomes baseline imbalances and atypical events during trial; no cost data; program apparently discontinued,L,Indeterminate (no cost data; program likely defunct),L,"The original QEA identified serious methodological problems with the sole RCT: (1) all outcomes self-reported health behaviors with no independent measurement of health outcomes; (2) baseline imbalances between treatment and control groups on key variables (IFA consumption handwashing); (3) atypical events during trial (government supply disruption of IFA/deworming tablets led treatment group to demand tablets through non-government sources creating differential access). No cost data were reported making CE indeterminate. The program (10-session school-based intervention for 11-14 year old girls in Uttar Pradesh promoting 19 health behaviors) does not appear to be currently operational — the QEA author found no evidence of continued operation beyond 2015. No new studies on the Saloni program have been published. The Watson et al. 2017 SR on handwashing referenced in the original has been superseded by GW's own handwashing investigation. India-specific. Not worth revisiting — defunct program with no reliable evidence base."
CCTs to reduce deforestation (payments for ecosystem services),2017,~$2.60/tonne CO2 averted (Jayachandran et al. 2017 Science; benefit-cost ratio 2.4 for carbon),Environment/climate intervention — CE framed as cost per tonne CO2 averted not health outcomes; GW's framework requires health/mortality benefits,L,~$2.60/tonne CO2 (no health channel; permanence questionable),L,"The Jayachandran et al. 2017 RCT (121 villages Uganda) was published in Science and remains a landmark study. Follow-up research (World Bank 2020) examined permanence: deforestation resumed at normal rates 4 years after program ended though forest cover gains during the program were maintained (suggesting permanent delay in deforestation not permanent behavior change). Benefit-cost ratio for carbon was 14.8 under permanent delay scenario. Jayachandran 2023 found PES benefited poorer households more than richer ones. The PES/REDD+ space has grown substantially: LEAF Coalition ($1B+) World Bank Forest Carbon Partnership ($1.3B) and numerous voluntary carbon market programs. But none of this changes the fundamental issue: this is a climate/environment intervention with no health or mortality channel. GW's CE framework requires conversion of benefits to units of value based on health outcomes. Carbon emissions averted cannot be converted to GW's UoV framework without speculative modeling of climate-health pathways over decades. Even Cool Earth (recommended by some EAs) operates in a fundamentally different framework from GW's health-focused portfolio. Not worth revisiting by GW."
